first_sentence	second_sentence	label
1.1.   For the purposes of reporting statistical data on fraud in accordance with these Guidelines,  the payment	service  provider  should  report  for  each  reporting  period:    	1
1.2.   For the purposes of Guideline 1.1, the payment service provider (including the payment  instrument issuer where	applicable)  should  report  only  payment  transactions  that  have  been  initiated  and  executed  (including  acquired  where  applicable).  The  payment  service  provider  should  not  report  data  on  payment  transactions  that,  however  linked  to  any  of  the  circumstances  referred  to  in  Guideline  1.1,  have  not  been  executed  and  have  not  resulted  in  a  transfer  of  funds  in  accordance  with  PSD2  provisions.  	1
1.3.   In the case of money remittance services where funds were transferred from a payer’s  payment service	provider  to  a  payer’s  money  remitter  payment  service  provider  (as  part  of  a  money  remittance  payment  transaction),  it  is  the  payer’s  payment  service  provider,  rather  than  the  money  remitter  payment  service  provider,  who  should  report  the  payment  transactions  from  the  payer’s  payment  service  provider  to  the  money  remitter.  Such  transactions  should  not  be  reported  by  the  payment  service  provider  of  the  beneficiary  of  the  money  remittance  payment  transaction.          	1
1.4.   Transactions and fraudulent transactions where funds have been transferred by a money  remitter payment service provider	from  its  accounts  to  a  beneficiary  account,  including  through  arrangements  offsetting  the  value  of  multiple  transactions  (netting  arrangements),  should  be  reported  by  the  money  remitter  payment  service  provider  in  accordance  with  Data  Breakdown  G  in  Annex  2.  	1
1.5.   Transactions and fraudulent transactions where e-money has been transferred by an emoney provider to a beneficiary account, including where the payer's payment service	              provider  is  identical  to  the  payee's  payment  service  provider,  should  be  reported  by  the  emoney  provider  in  accordance  with  Data  Breakdown  F  in  Annex  2.  Where  the  payment  service  providers  are  different,  payment  is  only  reported  by  the  payer’s  payment  service  provider  to  avoid  double  counting.            	1
1.6.   Payment service providers should report all payment transactions and fraudulent payment  transactions in accordance with the	following:    	1
2.1.   The payment service provider should report    	statistical information on:        	1
2.2.   The payment service provider should report the statistical i   	nformation specified in Guideline  	1
2.1 in terms of both volume (i.e. number of transactions or fraudulent transactions) and value  (i.e. amount of transactions	or  fraudulent  transactions).  They  should  report  volumes  and  values  in  actual  units,  with  two  decimals  for  values.              	1
2.3.   A payment service provider authorised, or a branch established, in a Member State of the  euro	area  should  report  the  values  in  euro  currency,  whereas  a  payment  service  provider  authorised,  or  a  branch  established,  in  a  Member  State  not  participating  in  the  euro  area  should  report  in  the  currency  of  that  Member  State.  The  reporting  payment  service  providers  should  convert  data  for  values  of  transactions  or  fraudulent  transactions  denominated  in  a  currency  other  than  the  euro  currency  or  the  relevant  Member  State’s  official  currency  into  the  currency  they  should  report  in,  using  the  relevant  exchange  rates  applied  to  these  transactions  or  the  average  ECB  reference  exchange  rate  for  the  applicable  reporting  period.          	1
