filename	first_sentence	second_sentence	label
1-guideline.txt	31. The EBA assessed these views and agreed with a number of respondents who suggested reporting     the same detailed data, rather than different sets of data with different frequencies, and decided     to require that such data be reported on a semi-annual basis. 	The EBA considers this to be an     appropriate compromise, limiting the burden for PSPs and CAs on the one hand and taking into     account the need for the EBA and the ECB to have access to relatively timely data on the other.	1
1-guideline.txt	35. This means that the first reporting period will be H1 2019 for CAs to report data on to the ECB and     the EBA by the end of 2019. This will ensure that consistent and comparable data are collected     ahead of the date of application of the RTS on SCA and CSC for CAs and will enable the EBA 	to     compare the evolution of fraud across payment services and instruments. This has led to a change     in the date of application in paragraph 14 of the GL under the heading ‘Date of application’ (page	1
1-guideline.txt	36. The obligation under Article 96(6) PSD2 applies from the time PSD2 is transposed in any given MS.    	 This means that, for the period between 13 January 2018 (or the date of application of the national     legislation transposing PSD2 if this is later) and 31 December 2018, PSPs will not be required to     report the data foreseen under the EBA GL.	1
1-guideline.txt	2. Guidelines set out the EBA’s view of appropriate supervisory practices within the European    System of Financial Supervision or of how Union law should be applied in a particular area.    Competent authorities as defined in Article 4(2) of Regulation (EU) No 1093/2010 to whom    	Guidelines apply should comply by incorporating them into their practices as appropriate (e.g.    by amending their legal framework or their supervisory processes), including where Guidelines    are directed primarily at institutions.	1
1-guideline.txt	3. According to Article 16(3) of Regulation (EU) No 1093/2010, competent authorities must notify    the EBA that they comply or intend to comply with these Guidelines or otherwise give reasons    for non-compliance, by ([dd.mm.yyyy]). In the absence of any notification by this deadline,    competent authorities will be considered by the EBA to be non-compliant. Notifications should    be sent by submitting the form available on 	the EBA website to compliance@eba.europa.eu    with the reference ‘EBA/GL/2018/05’. Notifications should be submitted by persons with    appropriate authority to report compliance on behalf of their competent authorities. Any    change in the status of compliance must also be reported to the EBA.	1
1-guideline.txt	5. These Guidelines provide detail on statistical data on fraud related to different means of    payment that payment service providers have to report to their competent authorities, as well   	 as on the aggregated data that the competent authorities have to share with the EBA and the    ECB, in accordance with Article 96(6) of Directive (EU) 2015/2366 (PSD2).	1
1-guideline.txt	6. These Guidelines apply in relation to the reporting by payment service providers to competent    authorities of statistical data on fraud for payment transactions that have been initiated and    executed (including acquired where applicable), including the acquiring of payment  	  transactions for card payments, identified by reference to: (a) fraudulent payment transactions    data over a defined period of time and (b) payment transactions over the same defined period.	1
1-guideline.txt	    •   payment service providers as defined in Article 4(11) of Directive (EU) 2015/2366 (PSD2)         and 	as referred to in the definition of ‘financial institutions’ in Article 4(1) of Regulation         (EU) No 1093/2010, except account information service providers, and to	1
1-guideline.txt	14. These Guidelines apply from 1 January 2019, with the exception of the reporting of data related     to the exemptions to the requirement to use strong customer authentication provided for in     Commission Delegated Regulation (EU) 2018/389 supplementing Directive (EU) 2015/2366 of     	the European Parliament and of the Council with regard to regulatory technical standards for     strong customer authentication and common and secure open standards of communication,     which will be applicable from 14 September 2019. The data relating to these exemptions are     detailed in Annex 2 in Data Breakdowns A (1.3.1.2.4 to 1.3.1.2.9 and 1.3.2.2.4 to 1.3.2.2.8), C     (3.2.1.3.4 to 3.2.1.3.8 and 3.2.2.3.4 to 3.2.2.3.7), D (4.2.1.3.4 to 4.2.1.3.6 and 4.2.2.3.4     to 4.2.2.3.6) and F (6.1.2.4 to 6.1.2.9 and 6.2.2.4 to 6.2.2.7)..	1
1-guideline.txt	Guideline 1: Payment transactions and 	fraudulent payment              transactions	1
1-guideline.txt	a.   unauthorised payment transactions made, including as a result of the loss, theft or                  misappropriation of sensitive payment data or a payment instrument, whether                 	detectable or not to the payer prior to a payment and whether or not caused by                  gross negligence of the payer or executed in the absence of consent by the payer                  (‘unauthorised payment transactions’); and	1
1-guideline.txt	b.   payment transactions made as a result of the payer being manipulated by the                  fraudster to issue a payment order, or to give the instruction to do so to the                 	payment service provider, in good-faith, to a payment account it believes belongs                  to a legitimate payee (‘manipulation of the payer’).	1
1-guideline.txt	1.3.   In the case of money remittance services where funds were transferred from a payer’s        payment service provider to a payer’s money remitter payment service provider (as part of        a money remittance payment transaction), it is the payer’s payment service provider, rather       	 than the money remitter payment service provider, who should report the payment        transactions from the payer’s payment service provider to the money remitter. Such        transactions should not be reported by the payment service provider of the beneficiary of        the money remittance payment transaction.	1
1-guideline.txt	1.4.   Transactions and fraudulent transactions where funds have been transferred by a money        remitter payment service provider from its accounts to a beneficiary account, including        	through arrangements offsetting the value of multiple transactions (netting arrangements),        should be reported by the money remitter payment service provider in accordance with Data        Breakdown G in Annex 2.	1
1-guideline.txt	b. ‘Losses due to fraud per liability bearer‘ refers to the losses by the reporting payment            service provider, its payment service user or others, reflecting the actual impact of            fraud on a cash flow basis. Since the registering of financial losses borne may be            disassociated time-wise from the actual fraudulent transactions and in order to avoid          	  revisions of reported data purely due to this immanent time lag, the final fraud losses            should be reported in the period when they are recorded in the payment service            provider’s books. The final fraud loss figures should not take into account refunds by            insurance agencies because they are not related to fraud prevention for the purposes            of PSD2.	1
